from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:71209,ATB:ServiceJourney:2_250113084167610_7086,NSR:Quay:71209,ATB:ServiceJourney:40_250204177791185_7039,1
NSR:Quay:71982,ATB:ServiceJourney:1_250113084167302_40,NSR:Quay:71982,ATB:ServiceJourney:74_250113084169911_10,1
NSR:Quay:72946,ATB:ServiceJourney:1_240516085577683_144,NSR:Quay:72946,ATB:ServiceJourney:78_240516085573047_68,1
NSR:Quay:72888,ATB:ServiceJourney:71_250203085379919_6037,NSR:Quay:72888,ATB:ServiceJourney:82_250203085182597_6040,1
NSR:Quay:72888,ATB:ServiceJourney:71_240516085577128_6019,NSR:Quay:72888,ATB:ServiceJourney:82_241107118801191_6021,1
NSR:Quay:104651,ATB:ServiceJourney:5475_241205091486549_1,NSR:Quay:104651,ATB:ServiceJourney:5476_241205091486553_3,1
NSR:Quay:78854,ATB:ServiceJourney:7415_241205091486702_6,NSR:Quay:78854,ATB:ServiceJourney:7412_241205091486691_2,1
NSR:Quay:74037,ATB:ServiceJourney:75_250131110663095_6,NSR:Quay:74037,ATB:ServiceJourney:77_241111133699954_13,1
NSR:Quay:72659,ATB:ServiceJourney:452_241205091488548_9,NSR:Quay:72659,ATB:ServiceJourney:591_241021121639955_8,1
NSR:Quay:74803,ATB:ServiceJourney:410_241021121639291_14,NSR:Quay:74803,ATB:ServiceJourney:420_250315139870982_8,1
NSR:Quay:75658,ATB:ServiceJourney:1_250131110658062_7071,NSR:Quay:75658,ATB:ServiceJourney:79_250131110663281_7032,1
NSR:Quay:71982,ATB:ServiceJourney:2_250131110662356_6170,NSR:Quay:71982,ATB:ServiceJourney:74_250131110656065_6032,1
NSR:Quay:72946,ATB:ServiceJourney:1_250113084167297_86,NSR:Quay:72946,ATB:ServiceJourney:46_250113084171473_38,1
NSR:Quay:75658,ATB:ServiceJourney:1_240516085577424_7011,NSR:Quay:75658,ATB:ServiceJourney:14_240516085574913_7001,1
NSR:Quay:75658,ATB:ServiceJourney:1_250121129048313_7033,NSR:Quay:75658,ATB:ServiceJourney:79_250120146072075_7010,1
NSR:Quay:73194,ATB:ServiceJourney:340_241021121641589_32,NSR:Quay:73194,ATB:ServiceJourney:480_241205091485704_8,1
NSR:Quay:72946,ATB:ServiceJourney:1_240516085577768_6078,NSR:Quay:72946,ATB:ServiceJourney:78_240516085573069_6036,1
NSR:Quay:72888,ATB:ServiceJourney:71_240516085577305_7033,NSR:Quay:72888,ATB:ServiceJourney:82_241107118795656_7039,1
NSR:Quay:72946,ATB:ServiceJourney:1_240516085577819_6006,NSR:Quay:72946,ATB:ServiceJourney:78_240516085573064_6006,1
